table_name,column_name,data_type,max_length,default_value,nullable,primary_key,foreign_key
activity_log,id,integer,,nextval('activity_log_id_seq'::regclass),NO,PRIMARY KEY,
activity_log,timestamp,timestamp without time zone,,,NO,,
activity_log,event_type,character varying,50,,NO,,
activity_log,description,character varying,250,,NO,,
activity_log,related_object_type,character varying,50,,YES,,
activity_log,related_object_id,integer,,,YES,,
billing_period,id,integer,,nextval('billing_period_id_seq'::regclass),NO,PRIMARY KEY,
billing_period,name,character varying,50,,NO,,
billing_period,start_date,timestamp without time zone,,,NO,,
billing_period,end_date,timestamp without time zone,,,NO,,
billing_period,total_amount,double precision,,,NO,,
billing_period,description,character varying,200,,YES,,
billing_period,created_at,timestamp without time zone,,,YES,,
contact,id,integer,,nextval('contact_id_seq'::regclass),NO,PRIMARY KEY,
contact,name,character varying,100,,NO,,
contact,email,character varying,120,,YES,,
contact,phone,character varying,20,,YES,,
contact,is_owner,boolean,,,YES,,
contact,notes,text,,,YES,,
contact,created_at,timestamp without time zone,,,YES,,
contact,emergency_contact,boolean,,false,YES,,
contact_property,contact_id,integer,,,NO,PRIMARY KEY,FOREIGN KEY
contact_property,property_id,integer,,,NO,PRIMARY KEY,FOREIGN KEY
contact_property,relationship_type,character varying,50,,NO,,
contact_property,created_at,timestamp without time zone,,,YES,,
expense,id,integer,,nextval('expense_id_seq'::regclass),NO,PRIMARY KEY,
expense,amount,double precision,,,NO,,
expense,name,character varying,100,,NO,,
expense,description,character varying,200,,YES,,
expense,due_date,timestamp without time zone,,,NO,,
expense,paid,boolean,,,YES,,
expense,paid_date,timestamp without time zone,,,YES,,
expense,invoice_filename,character varying,255,,YES,,
expense,matched_transaction_id,character varying,100,,YES,,
expense,created_at,timestamp without time zone,,,YES,,
fee,id,integer,,nextval('fee_id_seq'::regclass),NO,PRIMARY KEY,
fee,property_id,integer,,,NO,,FOREIGN KEY
fee,amount,double precision,,,NO,,
fee,date,timestamp without time zone,,,NO,,
fee,description,character varying,200,,YES,,
fee,period,character varying,50,,YES,,
fee,paid,boolean,,,YES,,
fee,created_at,timestamp without time zone,,,YES,,
fee,fee_type,character varying,50,'billing_period'::character varying,YES,,
fee,due_date,timestamp without time zone,,,NO,,
fee,paid_amount,double precision,,0.0,YES,,
payment,id,integer,,nextval('payment_id_seq'::regclass),NO,PRIMARY KEY,
payment,property_id,integer,,,YES,,FOREIGN KEY
payment,fee_id,integer,,,YES,,FOREIGN KEY
payment,amount,double precision,,,NO,,
payment,date,timestamp without time zone,,,NO,,
payment,description,character varying,200,,YES,,
payment,reference,character varying,100,,YES,,
payment,reconciled,boolean,,,YES,,
payment,is_duplicate,boolean,,,YES,,
payment,confirmed,boolean,,,YES,,
payment,transaction_id,character varying,100,,YES,,
payment,created_at,timestamp without time zone,,,YES,,
property,id,integer,,nextval('property_id_seq'::regclass),NO,PRIMARY KEY,
property,unit_number,character varying,10,,NO,,
property,description,character varying,200,,YES,,
property,balance,double precision,,,YES,,
property,entitlement,double precision,,,YES,,
property,created_at,timestamp without time zone,,,YES,,
strata_settings,id,integer,,nextval('strata_settings_id_seq'::regclass),NO,PRIMARY KEY,
strata_settings,strata_name,character varying,200,,NO,,
strata_settings,address,character varying,255,,NO,,
strata_settings,admin_email,character varying,120,,NO,,
strata_settings,bank_account_name,character varying,100,,YES,,
strata_settings,bank_bsb,character varying,10,,YES,,
strata_settings,bank_account_number,character varying,20,,YES,,
strata_settings,created_at,timestamp without time zone,,,YES,,
user,id,integer,,nextval('user_id_seq'::regclass),NO,PRIMARY KEY,
user,email,character varying,120,,NO,,
user,role,character varying,20,,YES,,
user,token,character varying,100,,YES,,
user,token_expiry,timestamp without time zone,,,YES,,
user,property_id,integer,,,YES,,FOREIGN KEY
user,last_login,timestamp without time zone,,,YES,,
user,created_at,timestamp without time zone,,,YES,,
